_id,title,introduction,author,destination,departureLocation,schedule,priceForAdult,priceForYoung,priceForChildren,maxParticipants,totalBookings,duration,imageUrls,include,notInclude,status,deleted,createdAt,updatedAt,__v
67ef53e583edf963ef92826b,Tour Trải Nghiệm Ẩm Thực Đường Phố Hải Phòng - Hà Nội,"Hành trình khám phá tinh hoa ẩm thực Hà Nội với phở, bún chả, bánh cuốn, cà phê trứng, và chợ đêm phố cổ.",67e4f221cc6f68665f4a36c7,Hà Nội,Hải Phòng,[object Object],450000,400000,300000,15,158,1,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743737828/nzxhn06grlxg4gbhrrik.jpg,"""Hướng dẫn viên tiếng Việt/Anh"",
""Chi phí ăn uống theo chương trình"",
""Phương tiện di chuyển"",
""Nước uống"""," ""Đồ uống có cồn"",
""Chi phí cá nhân"",
""Tiền tip cho hướng dẫn viên""",ACTIVE,false,2025-04-04T03:37:09.316Z,2025-04-04T03:37:09.316Z,0
67ef574383edf963ef928276,Tour Văn Hóa & Lịch Sử Ninh Bình - Hà Nội / Hành Trình Ngược Thời Gian,"Khám phá di sản ngàn năm văn hiến với Lăng Bác, Văn Miếu Quốc Tử Giám, Hoàng Thành Thăng Long và Nhà Thờ Lớn.",67e4f221cc6f68665f4a36c7,Hà Nội,Ninh Bình,"[object Object],[object Object]",990000,850000,650000,20,203,2,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743738691/ldcwrf97uir43zua0qbf.jpg,"""Hướng dẫn viên chuyên nghiệp"",
""Vé tham quan các điểm đến"",
""Khách sạn 3 sao (1 đêm)"",
""Bữa sáng tại khách sạn"",
""Xe đưa đón theo lịch trình""","""Các bữa ăn không được đề cập"",
""Chi phí cá nhân"",
""Phí chụp ảnh/quay phim tại các điểm tham quan""",ACTIVE,false,2025-04-04T03:51:31.930Z,2025-04-04T03:51:31.930Z,0
67ef584683edf963ef92827d,Tour Nam Định- Hà Nội / Trải Nghiệm Đạp Xe Buổi Sáng,"Đạp xe quanh Hồ Tây trong không khí trong lành, ghé chùa Trấn Quốc, thưởng thức bánh tôm, check-in con đường Nhật Bản.",67e4f221cc6f68665f4a36c7,Hà Nội,Nam Định,[object Object],300000,280000,200000,12,175,1,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743738949/qvtcghxvhkxb3y1rieh9.jpg," ""Thuê xe đạp"",
""Vé vào cổng chùa Trấn Quốc"",
""Bánh tôm Hồ Tây"",
""Nước uống"",
""Hướng dẫn viên""","""Các bữa ăn không được đề cập"",
""Chi phí cá nhân"",
""Phí chụp ảnh/quay phim tại các điểm tham quan""",ACTIVE,false,2025-04-04T03:55:50.028Z,2025-04-04T03:55:50.028Z,0
67ef81f9fea92eaee76d6ace,Tour Vũng Tàu - Sài Gòn / Phố Tây & Du Thuyền Trên Sông,"Hành trình khám phá cuộc sống về đêm với phố Tây Bùi Viện, chợ đêm, ngắm cảnh thành phố từ du thuyền trên sông Sài Gòn.",67e4f221cc6f68665f4a36c7,Sài Gòn,Vũng Tàu,[object Object],600000,550000,400000,15,189,1,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743749625/vb6ddnpfa4oxnuemtyiu.jpg,"""Vé du thuyền sông Sài Gòn"",
""Đồ uống chào mừng trên du thuyền"",
""Hướng dẫn viên địa phương"",
""Đưa đón khách sạn trung tâm""","""Ăn tối"",
""Đồ uống có cồn"",
""Chi phí tại phố Tây Bùi Viện""",ACTIVE,false,2025-04-04T06:53:45.943Z,2025-04-04T06:53:45.943Z,0
67ef8373fea92eaee76d6ad3,Tour Cần Thơ - Sài Gòn,"Khám phá sự đối lập thú vị giữa Sài Gòn cổ kính và hiện đại. Bắt đầu tại Bảo tàng Chứng tích Chiến tranh, dạo quanh Chợ Lớn sầm uất, ghé thăm một quán cà phê retro đậm chất xưa, rồi bất ngờ lao vào thế giới tương lai với những tòa nhà chọc trời như Landmark 81.",67e4f221cc6f68665f4a36c7,Sài Gòn,Cần Thơ,[object Object],560000,500000,280000,15,10,1,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743750003/ygknmssjo33fc1vjiwuo.jpg,"""Vé tham quan các điểm đến"",
""Xe đưa đón"",
""Hướng dẫn viên"",
""Bữa trưa"",
""Nước uống"",
""Vé lên đài quan sát Landmark 81""","""Đồ uống có cồn"",
""Chi phí cá nhân"",
""Các bữa ăn không được đề cập""",ACTIVE,false,2025-04-04T07:00:03.774Z,2025-04-04T07:00:03.774Z,0
67ef843cfea92eaee76d6ad8,Tour Đà Lạt - Sài Gòn / Bí Ẩn Thành Phố Không Ngủ,"Lạc vào những con hẻm nhỏ với những quán bar bí ẩn, quán ăn khuya chỉ dân địa phương biết đến. Khám phá nghệ thuật graffiti, nghe những câu chuyện kỳ bí về Sài Gòn, và kết thúc bằng một bữa tiệc DJ trên rooftop với view toàn cảnh thành phố.",67e4f221cc6f68665f4a36c7,Sài Gòn,Đà Lạt,[object Object],650000,650000,100000,12,8,1,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743750203/ch6tdn659kexep9wytyv.jpg," ""Hướng dẫn viên am hiểu văn hóa đường phố"",
""Vé vào các điểm tham quan"",
""Bữa tối tại quán ăn địa phương"",
""Một đồ uống tại rooftop bar"",
""Phương tiện di chuyển trong tour""","""Đồ uống phụ thu"",
""Chi phí cá nhân"",
""Tiền tip""",ACTIVE,false,2025-04-04T07:03:24.165Z,2025-04-04T07:03:24.165Z,0
67f1ca297fb56bcb4c5ef5ab,Tour Hội An - Đà Nẵng / Cầu Rồng Phun Lửa & Chợ Đêm Helio,"Hòa mình vào không khí sôi động khi Cầu Rồng phun lửa, dạo phố đi bộ Bạch Đằng, thưởng thức ẩm thực tại chợ đêm Helio.",67e4f221cc6f68665f4a36c7,Đà Nẵng,Hội An,[object Object],500000,450000,350000,20,167,1,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743899176/ae7nfdeit9uolqtslfdp.jpg,"""Hướng dẫn viên địa phương"",
""Đón/trả khách tại khách sạn trung tâm"",
""Vé xem show Cầu Rồng phun lửa"",
""Phiếu giảm giá chợ đêm Helio""","""Chi phí ăn uống"",
""Chi phí cá nhân"",
""Bảo hiểm du lịch""",ACTIVE,false,2025-04-06T00:26:17.440Z,2025-04-06T00:26:17.440Z,0
67f1ea096d09e25b2369314a,Tour Huế - Đà Nẵng / Trải Nghiệm Biển Mỹ Khê & Hòn Sơn Trà,"Thư giãn tại bãi biển Mỹ Khê tuyệt đẹp, tham quan chùa Linh Ứng trên bán đảo Sơn Trà, tận hưởng hải sản ven biển.",67e4f221cc6f68665f4a36c7,Đà Nẵng,Huế,"[object Object],[object Object]",1300000,1100000,900000,15,145,2,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743907337/fjpsfpolktm0ydujirgr.jpg," ""Khách sạn 3 sao (1 đêm)"",
""Bữa sáng tại khách sạn"",
""Bữa trưa hải sản"",
""Xe đưa đón theo lịch trình"",
""Vé tham quan các điểm đến"",
""Hướng dẫn viên"""," ""Đồ uống trong bữa ăn"",
""Các hoạt động ngoài chương trình"",
""Tiền tip"",
""Chi phí cá nhân""",ACTIVE,false,2025-04-06T02:42:17.965Z,2025-04-06T02:42:17.965Z,0
67f1eabb6d09e25b23693150,Tour Đà Lạt - Nha Trang / Lặn Ngắm San Hô Ở Hòn Mun,"Trải nghiệm lặn biển tại khu bảo tồn Hòn Mun, chiêm ngưỡng hệ sinh thái san hô tuyệt đẹp, khám phá đảo hoang sơ.",67e4f221cc6f68665f4a36c7,Nha Trang,Đà Lạt,[object Object],900000,850000,700000,12,178,1,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743907514/qsnm5lmi9lxelax2m3j7.jpg,"""Đưa đón tại khách sạn"",
""Tàu tham quan"",
""Thiết bị lặn biển"",
""Hướng dẫn viên lặn chuyên nghiệp"",
""Bữa trưa trên tàu"",
""Nước uống"",
""Phí bảo tồn biển""","""Bảo hiểm cá nhân"",
""Dịch vụ chụp ảnh dưới nước"",
""Đồ uống có cồn"",
""Tiền tip""",ACTIVE,false,2025-04-06T02:45:15.072Z,2025-04-06T02:45:15.072Z,0
67f1eb6e6d09e25b23693155,Tour Sài Gòn - Nha Trang / VinWonders & Đảo Hòn Tre,"Tham quan khu vui chơi VinWonders Nha Trang, khám phá đảo Hòn Tre, tận hưởng biển xanh và các trò chơi cảm giác mạnh.",67e4f221cc6f68665f4a36c7,Nha Trang,Sài Gòn,"[object Object],[object Object]",1500000,1350000,1100000,25,210,2,https://res.cloudinary.com/dkkpbvqin/image/upload/v1743907693/f6mrhbiquvlw6h1uts39.jpg," ""Vé cáp treo khứ hồi"",
""Vé vào cổng VinWonders"",
""Khách sạn 4 sao (1 đêm)"",
""Bữa sáng tại khách sạn"",
""Đưa đón tại khách sạn"",
""Hướng dẫn viên"""," ""Các bữa ăn chính"",
""Chi phí cá nhân"",
""Thuê thiết bị thể thao biển"",
""Tiền tip cho nhân viên""",ACTIVE,false,2025-04-06T02:48:14.149Z,2025-04-06T02:48:14.149Z,0
